"comp_name";"Industry";"Symbol";"yf_sym"
"Affle_(India)_Ltd";"Information Technology";"AFFLE";"AFFLE.ns"
"Ajanta_Pharmaceuticals_Ltd";"Healthcare";"AJANTPHARM";"AJANTPHARM.ns"
"Akums_Drugs_and_Pharmaceuticals_Ltd";"Healthcare";"AKUMS";"AKUMS.ns"
"Alembic_Pharmaceuticals_Ltd";"Healthcare";"APLLTD";"APLLTD.ns"
"Alkem_Laboratories_Ltd";"Healthcare";"ALKEM";"ALKEM.ns"
"Alkyl_Amines_Chemicals_Ltd";"Chemicals";"ALKYLAMINE";"ALKYLAMINE.ns"
"Alok_Industries_Ltd";"Textiles";"ALOKINDS";"ALOKINDS.ns"
"Amara_Raja_Energy_&_Mobility_Ltd";"Automobile and Auto Components";"ARE&M";"ARE&M.ns"
"Amber_Enterprises_India_Ltd";"Consumer Durables";"AMBER";"AMBER.ns"
"Ambuja_Cements_Ltd";"Construction Materials";"AMBUJACEM";"AMBUJACEM.ns"
"Anand_Rathi_Wealth_Ltd";"Financial Services";"ANANDRATHI";"ANANDRATHI.ns"
"Anant_Raj_Ltd";"Realty";"ANANTRAJ";"ANANTRAJ.ns"
"Angel_One_Ltd";"Financial Services";"ANGELONE";"ANGELONE.ns"
"Apar_Industries_Ltd";"Capital Goods";"APARINDS";"APARINDS.ns"
"Apollo_Hospitals_Enterprise_Ltd";"Healthcare";"APOLLOHOSP";"APOLLOHOSP.ns"
"Apollo_Tyres_Ltd";"Automobile and Auto Components";"APOLLOTYRE";"APOLLOTYRE.ns"
"Aptus_Value_Housing_Finance_India_Ltd";"Financial Services";"APTUS";"APTUS.ns"
"Archean_Chemical_Industries_Ltd";"Chemicals";"ACI";"ACI.ns"
"Asahi_India_Glass_Ltd";"Automobile and Auto Components";"ASAHIINDIA";"ASAHIINDIA.ns"
"Ashok_Leyland_Ltd";"Capital Goods";"ASHOKLEY";"ASHOKLEY.ns"
"Asian_Paints_Ltd";"Consumer Durables";"ASIANPAINT";"ASIANPAINT.ns"
"Aster_DM_Healthcare_Ltd";"Healthcare";"ASTERDM";"ASTERDM.ns"
"AstraZenca_Pharma_India_Ltd";"Healthcare";"ASTRAZEN";"ASTRAZEN.ns"
"Astral_Ltd";"Capital Goods";"ASTRAL";"ASTRAL.ns"
"Atul_Ltd";"Chemicals";"ATUL";"ATUL.ns"
"Aurobindo_Pharma_Ltd";"Healthcare";"AUROPHARMA";"AUROPHARMA.ns"
"Avanti_Feeds_Ltd";"Fast Moving Consumer Goods";"AVANTIFEED";"AVANTIFEED.ns"
"Avenue_Supermarts_Ltd";"Consumer Services";"DMART";"DMART.ns"
"Axis_Bank_Ltd";"Financial Services";"AXISBANK";"AXISBANK.ns"
"BASF_India_Ltd";"Chemicals";"BASF";"BASF.ns"
"BEML_Ltd";"Capital Goods";"BEML";"BEML.ns"
"BLS_International_Services_Ltd";"Consumer Services";"BLS";"BLS.ns"
"BSE_Ltd";"Financial Services";"BSE";"BSE.ns"
"Bajaj_Auto_Ltd";"Automobile and Auto Components";"BAJAJ-AUTO";"BAJAJ-AUTO.ns"
"Bajaj_Finance_Ltd";"Financial Services";"BAJFINANCE";"BAJFINANCE.ns"
"Bajaj_Finserv_Ltd";"Financial Services";"BAJAJFINSV";"BAJAJFINSV.ns"
"Bajaj_Holdings_&_Investment_Ltd";"Financial Services";"BAJAJHLDNG";"BAJAJHLDNG.ns"
"Balaji_Amines_Ltd";"Chemicals";"BALAMINES";"BALAMINES.ns"
"Balkrishna_Industries_Ltd";"Automobile and Auto Components";"BALKRISIND";"BALKRISIND.ns"
"Balrampur_Chini_Mills_Ltd";"Fast Moving Consumer Goods";"BALRAMCHIN";"BALRAMCHIN.ns"
"Bandhan_Bank_Ltd";"Financial Services";"BANDHANBNK";"BANDHANBNK.ns"
"Bank_of_Baroda";"Financial Services";"BANKBARODA";"BANKBARODA.ns"
"Bank_of_India";"Financial Services";"BANKINDIA";"BANKINDIA.ns"
"Bank_of_Maharashtra";"Financial Services";"MAHABANK";"MAHABANK.ns"
"Bata_India_Ltd";"Consumer Durables";"BATAINDIA";"BATAINDIA.ns"
"Bayer_Cropscience_Ltd";"Chemicals";"BAYERCROP";"BAYERCROP.ns"
"Berger_Paints_India_Ltd";"Consumer Durables";"BERGEPAINT";"BERGEPAINT.ns"
"Bharat_Dynamics_Ltd";"Capital Goods";"BDL";"BDL.ns"
"Bharat_Electronics_Ltd";"Capital Goods";"BEL";"BEL.ns"
"Bharat_Forge_Ltd";"Automobile and Auto Components";"BHARATFORG";"BHARATFORG.ns"
"Bharat_Heavy_Electricals_Ltd";"Capital Goods";"BHEL";"BHEL.ns"
"Bharat_Petroleum_Corporation_Ltd";"Oil Gas & Consumable Fuels";"BPCL";"BPCL.ns"
"Bharti_Airtel_Ltd";"Telecommunication";"BHARTIARTL";"BHARTIARTL.ns"
"Bharti_Hexacom_Ltd";"Telecommunication";"BHARTIHEXA";"BHARTIHEXA.ns"
"Bikaji_Foods_International_Ltd";"Fast Moving Consumer Goods";"BIKAJI";"BIKAJI.ns"
"Biocon_Ltd";"Healthcare";"BIOCON";"BIOCON.ns"
"Birla_Corporation_Ltd";"Construction Materials";"BIRLACORPN";"BIRLACORPN.ns"
"Birlasoft_Ltd";"Information Technology";"BSOFT";"BSOFT.ns"
"Blue_Dart_Express_Ltd";"Services";"BLUEDART";"BLUEDART.ns"
"Blue_Star_Ltd";"Consumer Durables";"BLUESTARCO";"BLUESTARCO.ns"
"Bombay_Burmah_Trading_Corporation_Ltd";"Fast Moving Consumer Goods";"BBTC";"BBTC.ns"
"Bosch_Ltd";"Automobile and Auto Components";"BOSCHLTD";"BOSCHLTD.ns"
"Brigade_Enterprises_Ltd";"Realty";"BRIGADE";"BRIGADE.ns"
"Britannia_Industries_Ltd";"Fast Moving Consumer Goods";"BRITANNIA";"BRITANNIA.ns"
"CE_Info_Systems_Ltd";"Information Technology";"MAPMYINDIA";"MAPMYINDIA.ns"
"CCL_Products_(I)_Ltd";"Fast Moving Consumer Goods";"CCL";"CCL.ns"
"CESC_Ltd";"Power";"CESC";"CESC.ns"
"CG_Power_and_Industrial_Solutions_Ltd";"Capital Goods";"CGPOWER";"CGPOWER.ns"
"CIE_Automotive_India_Ltd";"Automobile and Auto Components";"CIEINDIA";"CIEINDIA.ns"
"CRISIL_Ltd";"Financial Services";"CRISIL";"CRISIL.ns"
"Campus_Activewear_Ltd";"Consumer Durables";"CAMPUS";"CAMPUS.ns"
"Can_Fin_Homes_Ltd";"Financial Services";"CANFINHOME";"CANFINHOME.ns"
"Canara_Bank";"Financial Services";"CANBK";"CANBK.ns"
"Caplin_Point_Laboratories_Ltd";"Healthcare";"CAPLIPOINT";"CAPLIPOINT.ns"
"Capri_Global_Capital_Ltd";"Financial Services";"CGCL";"CGCL.ns"
"Carborundum_Universal_Ltd";"Capital Goods";"CARBORUNIV";"CARBORUNIV.ns"
"Castrol_India_Ltd";"Oil Gas & Consumable Fuels";"CASTROLIND";"CASTROLIND.ns"
"Ceat_Ltd";"Automobile and Auto Components";"CEATLTD";"CEATLTD.ns"
"Cello_World_Ltd";"Consumer Durables";"CELLO";"CELLO.ns"
"Central_Bank_of_India";"Financial Services";"CENTRALBK";"CENTRALBK.ns"
"Central_Depository_Services_(India)_Ltd";"Financial Services";"CDSL";"CDSL.ns"
"Century_Plyboards_(India)_Ltd";"Consumer Durables";"CENTURYPLY";"CENTURYPLY.ns"
"Cera_Sanitaryware_Ltd";"Consumer Durables";"CERA";"CERA.ns"
"Chalet_Hotels_Ltd";"Consumer Services";"CHALET";"CHALET.ns"
"Chambal_Fertilizers_&_Chemicals_Ltd";"Chemicals";"CHAMBLFERT";"CHAMBLFERT.ns"
"Chemplast_Sanmar_Ltd";"Chemicals";"CHEMPLASTS";"CHEMPLASTS.ns"
"Chennai_Petroleum_Corporation_Ltd";"Oil Gas & Consumable Fuels";"CHENNPETRO";"CHENNPETRO.ns"
"Cholamandalam_Financial_Holdings_Ltd";"Financial Services";"CHOLAHLDNG";"CHOLAHLDNG.ns"
"Cholamandalam_Investment_and_Finance_Company_Ltd";"Financial Services";"CHOLAFIN";"CHOLAFIN.ns"
"Cipla_Ltd";"Healthcare";"CIPLA";"CIPLA.ns"
"City_Union_Bank_Ltd";"Financial Services";"CUB";"CUB.ns"
"Clean_Science_and_Technology_Ltd";"Chemicals";"CLEAN";"CLEAN.ns"
"Coal_India_Ltd";"Oil Gas & Consumable Fuels";"COALINDIA";"COALINDIA.ns"
"Cochin_Shipyard_Ltd";"Capital Goods";"COCHINSHIP";"COCHINSHIP.ns"
"Coforge_Ltd";"Information Technology";"COFORGE";"COFORGE.ns"
"Colgate_Palmolive_(India)_Ltd";"Fast Moving Consumer Goods";"COLPAL";"COLPAL.ns"
"Computer_Age_Management_Services_Ltd";"Financial Services";"CAMS";"CAMS.ns"
"Concord_Biotech_Ltd";"Healthcare";"CONCORDBIO";"CONCORDBIO.ns"
"Container_Corporation_of_India_Ltd";"Services";"CONCOR";"CONCOR.ns"
"Coromandel_International_Ltd";"Chemicals";"COROMANDEL";"COROMANDEL.ns"
"Craftsman_Automation_Ltd";"Automobile and Auto Components";"CRAFTSMAN";"CRAFTSMAN.ns"
"CreditAccess_Grameen_Ltd";"Financial Services";"CREDITACC";"CREDITACC.ns"
"Crompton_Greaves_Consumer_Electricals_Ltd";"Consumer Durables";"CROMPTON";"CROMPTON.ns"
"Cummins_India_Ltd";"Capital Goods";"CUMMINSIND";"CUMMINSIND.ns"
"Cyient_Ltd";"Information Technology";"CYIENT";"CYIENT.ns"
"DLF_Ltd";"Realty";"DLF";"DLF.ns"
"DOMS_Industries_Ltd";"Fast Moving Consumer Goods";"DOMS";"DOMS.ns"
"Dabur_India_Ltd";"Fast Moving Consumer Goods";"DABUR";"DABUR.ns"
"Dalmia_Bharat_Ltd";"Construction Materials";"DALBHARAT";"DALBHARAT.ns"
"Data_Patterns_(India)_Ltd";"Capital Goods";"DATAPATTNS";"DATAPATTNS.ns"
"Deepak_Fertilisers_&_Petrochemicals_Corp_Ltd";"Chemicals";"DEEPAKFERT";"DEEPAKFERT.ns"
"Deepak_Nitrite_Ltd";"Chemicals";"DEEPAKNTR";"DEEPAKNTR.ns"
"Delhivery_Ltd";"Services";"DELHIVERY";"DELHIVERY.ns"
"Devyani_International_Ltd";"Consumer Services";"DEVYANI";"DEVYANI.ns"
"Divis_Laboratories_Ltd";"Healthcare";"DIVISLAB";"DIVISLAB.ns"
"Dixon_Technologies_(India)_Ltd";"Consumer Durables";"DIXON";"DIXON.ns"
"Dr_Lal_Path_Labs_Ltd";"Healthcare";"LALPATHLAB";"LALPATHLAB.ns"
"Dr_Reddys_Laboratories_Ltd";"Healthcare";"DRREDDY";"DRREDDY.ns"
"EID_Parry_(India)_Ltd";"Chemicals";"EIDPARRY";"EIDPARRY.ns"
"EIH_Ltd";"Consumer Services";"EIHOTEL";"EIHOTEL.ns"
"Easy_Trip_Planners_Ltd";"Consumer Services";"EASEMYTRIP";"EASEMYTRIP.ns"
"Eicher_Motors_Ltd";"Automobile and Auto Components";"EICHERMOT";"EICHERMOT.ns"
"Elecon_Engineering_Co_Ltd";"Capital Goods";"ELECON";"ELECON.ns"
"Elgi_Equipments_Ltd";"Capital Goods";"ELGIEQUIP";"ELGIEQUIP.ns"
"Emami_Ltd";"Fast Moving Consumer Goods";"EMAMILTD";"EMAMILTD.ns"
"Emcure_Pharmaceuticals_Ltd";"Healthcare";"EMCURE";"EMCURE.ns"
"Endurance_Technologies_Ltd";"Automobile and Auto Components";"ENDURANCE";"ENDURANCE.ns"
"Engineers_India_Ltd";"Construction";"ENGINERSIN";"ENGINERSIN.ns"
"Equitas_Small_Finance_Bank_Ltd";"Financial Services";"EQUITASBNK";"EQUITASBNK.ns"
"Eris_Lifesciences_Ltd";"Healthcare";"ERIS";"ERIS.ns"
"Escorts_Kubota_Ltd";"Capital Goods";"ESCORTS";"ESCORTS.ns"
"Exide_Industries_Ltd";"Automobile and Auto Components";"EXIDEIND";"EXIDEIND.ns"
"FSN_E-Commerce_Ventures_Ltd";"Consumer Services";"NYKAA";"NYKAA.ns"
"Federal_Bank_Ltd";"Financial Services";"FEDERALBNK";"FEDERALBNK.ns"
"Fertilisers_and_Chemicals_Travancore_Ltd";"Chemicals";"FACT";"FACT.ns"
"Fine_Organic_Industries_Ltd";"Chemicals";"FINEORG";"FINEORG.ns"
"Finolex_Cables_Ltd";"Capital Goods";"FINCABLES";"FINCABLES.ns"
"Finolex_Industries_Ltd";"Capital Goods";"FINPIPE";"FINPIPE.ns"
"Firstsource_Solutions_Ltd";"Services";"FSL";"FSL.ns"
"Five-Star_Business_Finance_Ltd";"Financial Services";"FIVESTAR";"FIVESTAR.ns"
"Fortis_Healthcare_Ltd";"Healthcare";"FORTIS";"FORTIS.ns"
"G_R_Infraprojects_Ltd";"Construction";"GRINFRA";"GRINFRA.ns"
"GAIL_(India)_Ltd";"Oil Gas & Consumable Fuels";"GAIL";"GAIL.ns"
"GE_Vernova_T&D_India_Ltd";"Capital Goods";"GVT&D";"GVT&D.ns"
"GMR_Airports_Infrastructure_Ltd";"Services";"GMRINFRA";"GMRINFRA.ns"
"Garden_Reach_Shipbuilders_&_Engineers_Ltd";"Capital Goods";"GRSE";"GRSE.ns"
"General_Insurance_Corporation_of_India";"Financial Services";"GICRE";"GICRE.ns"
"Gillette_India_Ltd";"Fast Moving Consumer Goods";"GILLETTE";"GILLETTE.ns"
"Gland_Pharma_Ltd";"Healthcare";"GLAND";"GLAND.ns"
"Glaxosmithkline_Pharmaceuticals_Ltd";"Healthcare";"GLAXO";"GLAXO.ns"
"Glenmark_Pharmaceuticals_Ltd";"Healthcare";"GLENMARK";"GLENMARK.ns"
"Global_Health_Ltd";"Healthcare";"MEDANTA";"MEDANTA.ns"
"Go_Digit_General_Insurance_Ltd";"Financial Services";"GODIGIT";"GODIGIT.ns"
"Godawari_Power_&_Ispat_Ltd";"Capital Goods";"GPIL";"GPIL.ns"
"Godfrey_Phillips_India_Ltd";"Fast Moving Consumer Goods";"GODFRYPHLP";"GODFRYPHLP.ns"
"Godrej_Agrovet_Ltd";"Fast Moving Consumer Goods";"GODREJAGRO";"GODREJAGRO.ns"
"Godrej_Consumer_Products_Ltd";"Fast Moving Consumer Goods";"GODREJCP";"GODREJCP.ns"
"Godrej_Industries_Ltd";"Diversified";"GODREJIND";"GODREJIND.ns"
"Godrej_Properties_Ltd";"Realty";"GODREJPROP";"GODREJPROP.ns"
"Granules_India_Ltd";"Healthcare";"GRANULES";"GRANULES.ns"
"Graphite_India_Ltd";"Capital Goods";"GRAPHITE";"GRAPHITE.ns"
"Grasim_Industries_Ltd";"Construction Materials";"GRASIM";"GRASIM.ns"
"Great_Eastern_Shipping_Co_Ltd";"Services";"GESHIP";"GESHIP.ns"
"Grindwell_Norton_Ltd";"Capital Goods";"GRINDWELL";"GRINDWELL.ns"
"Gujarat_Ambuja_Exports_Ltd";"Fast Moving Consumer Goods";"GAEL";"GAEL.ns"
"Gujarat_Fluorochemicals_Ltd";"Chemicals";"FLUOROCHEM";"FLUOROCHEM.ns"
"Gujarat_Gas_Ltd";"Oil Gas & Consumable Fuels";"GUJGASLTD";"GUJGASLTD.ns"
"Gujarat_Mineral_Development_Corporation_Ltd";"Metals & Mining";"GMDCLTD";"GMDCLTD.ns"
"Gujarat_Narmada_Valley_Fertilizers_and_Chemicals_Ltd";"Chemicals";"GNFC";"GNFC.ns"
"Gujarat_Pipavav_Port_Ltd";"Services";"GPPL";"GPPL.ns"
"Gujarat_State_Fertilizers_&_Chemicals_Ltd";"Chemicals";"GSFC";"GSFC.ns"
"Gujarat_State_Petronet_Ltd";"Oil Gas & Consumable Fuels";"GSPL";"GSPL.ns"
"HEG_Ltd";"Capital Goods";"HEG";"HEG.ns"
"HBL_Power_Systems_Ltd";"Automobile and Auto Components";"HBLPOWER";"HBLPOWER.ns"
"HCL_Technologies_Ltd";"Information Technology";"HCLTECH";"HCLTECH.ns"
"HDFC_Asset_Management_Company_Ltd";"Financial Services";"HDFCAMC";"HDFCAMC.ns"
"HDFC_Bank_Ltd";"Financial Services";"HDFCBANK";"HDFCBANK.ns"
"HDFC_Life_Insurance_Company_Ltd";"Financial Services";"HDFCLIFE";"HDFCLIFE.ns"
"HFCL_Ltd";"Telecommunication";"HFCL";"HFCL.ns"
"Happiest_Minds_Technologies_Ltd";"Information Technology";"HAPPSTMNDS";"HAPPSTMNDS.ns"
"Havells_India_Ltd";"Consumer Durables";"HAVELLS";"HAVELLS.ns"
"Hero_MotoCorp_Ltd";"Automobile and Auto Components";"HEROMOTOCO";"HEROMOTOCO.ns"
"Himadri_Speciality_Chemical_Ltd";"Chemicals";"HSCL";"HSCL.ns"
"Hindalco_Industries_Ltd";"Metals & Mining";"HINDALCO";"HINDALCO.ns"
"Hindustan_Aeronautics_Ltd";"Capital Goods";"HAL";"HAL.ns"
"Hindustan_Copper_Ltd";"Metals & Mining";"HINDCOPPER";"HINDCOPPER.ns"
"Hindustan_Petroleum_Corporation_Ltd";"Oil Gas & Consumable Fuels";"HINDPETRO";"HINDPETRO.ns"
"Hindustan_Unilever_Ltd";"Fast Moving Consumer Goods";"HINDUNILVR";"HINDUNILVR.ns"
"Hindustan_Zinc_Ltd";"Metals & Mining";"HINDZINC";"HINDZINC.ns"
"Hitachi_Energy_India_Ltd";"Capital Goods";"POWERINDIA";"POWERINDIA.ns"
"Home_First_Finance_Company_India_Ltd";"Financial Services";"HOMEFIRST";"HOMEFIRST.ns"
"Honasa_Consumer_Ltd";"Fast Moving Consumer Goods";"HONASA";"HONASA.ns"
"Honeywell_Automation_India_Ltd";"Capital Goods";"HONAUT";"HONAUT.ns"
"Housing_&_Urban_Development_Corporation_Ltd";"Financial Services";"HUDCO";"HUDCO.ns"
"ICICI_Bank_Ltd";"Financial Services";"ICICIBANK";"ICICIBANK.ns"
"ICICI_Lombard_General_Insurance_Company_Ltd";"Financial Services";"ICICIGI";"ICICIGI.ns"
"ICICI_Prudential_Life_Insurance_Company_Ltd";"Financial Services";"ICICIPRULI";"ICICIPRULI.ns"
"ICICI_Securities_Ltd";"Financial Services";"ISEC";"ISEC.ns"
"IDBI_Bank_Ltd";"Financial Services";"IDBI";"IDBI.ns"
"IDFC_First_Bank_Ltd";"Financial Services";"IDFCFIRSTB";"IDFCFIRSTB.ns"
"IFCI_Ltd";"Financial Services";"IFCI";"IFCI.ns"
"IIFL_Finance_Ltd";"Financial Services";"IIFL";"IIFL.ns"
"INOX_India_Ltd";"Capital Goods";"INOXINDIA";"INOXINDIA.ns"
"IRB_Infrastructure_Developers_Ltd";"Construction";"IRB";"IRB.ns"
"IRCON_International_Ltd";"Construction";"IRCON";"IRCON.ns"
"ITC_Ltd";"Fast Moving Consumer Goods";"ITC";"ITC.ns"
"ITI_Ltd";"Telecommunication";"ITI";"ITI.ns"
"Indegene_Ltd";"Healthcare";"INDGN";"INDGN.ns"
"India_Cements_Ltd";"Construction Materials";"INDIACEM";"INDIACEM.ns"
"Indiamart_Intermesh_Ltd";"Consumer Services";"INDIAMART";"INDIAMART.ns"
"Indian_Bank";"Financial Services";"INDIANB";"INDIANB.ns"
"Indian_Energy_Exchange_Ltd";"Financial Services";"IEX";"IEX.ns"
"Indian_Hotels_Co_Ltd";"Consumer Services";"INDHOTEL";"INDHOTEL.ns"
"Indian_Oil_Corporation_Ltd";"Oil Gas & Consumable Fuels";"IOC";"IOC.ns"
"Indian_Overseas_Bank";"Financial Services";"IOB";"IOB.ns"
"Indian_Railway_Catering_And_Tourism_Corporation_Ltd";"Consumer Services";"IRCTC";"IRCTC.ns"
"Indian_Railway_Finance_Corporation_Ltd";"Financial Services";"IRFC";"IRFC.ns"
"Indian_Renewable_Energy_Development_Agency_Ltd";"Financial Services";"IREDA";"IREDA.ns"
"Indraprastha_Gas_Ltd";"Oil Gas & Consumable Fuels";"IGL";"IGL.ns"
"Indus_Towers_Ltd";"Telecommunication";"INDUSTOWER";"INDUSTOWER.ns"
"IndusInd_Bank_Ltd";"Financial Services";"INDUSINDBK";"INDUSINDBK.ns"
"Info_Edge_(India)_Ltd";"Consumer Services";"NAUKRI";"NAUKRI.ns"
"Infosys_Ltd";"Information Technology";"INFY";"INFY.ns"
"Inox_Wind_Ltd";"Capital Goods";"INOXWIND";"INOXWIND.ns"
"Intellect_Design_Arena_Ltd";"Information Technology";"INTELLECT";"INTELLECT.ns"
"InterGlobe_Aviation_Ltd";"Services";"INDIGO";"INDIGO.ns"
"Ipca_Laboratories_Ltd";"Healthcare";"IPCALAB";"IPCALAB.ns"
"JB_Chemicals_&_Pharmaceuticals_Ltd";"Healthcare";"JBCHEPHARM";"JBCHEPHARM.ns"
"JK_Cement_Ltd";"Construction Materials";"JKCEMENT";"JKCEMENT.ns"
"JBM_Auto_Ltd";"Automobile and Auto Components";"JBMA";"JBMA.ns"
"JK_Lakshmi_Cement_Ltd";"Construction Materials";"JKLAKSHMI";"JKLAKSHMI.ns"
"JK_Tyre_&_Industries_Ltd";"Automobile and Auto Components";"JKTYRE";"JKTYRE.ns"
"JM_Financial_Ltd";"Financial Services";"JMFINANCIL";"JMFINANCIL.ns"
"JSW_Energy_Ltd";"Power";"JSWENERGY";"JSWENERGY.ns"
"JSW_Infrastructure_Ltd";"Services";"JSWINFRA";"JSWINFRA.ns"
"JSW_Steel_Ltd";"Metals & Mining";"JSWSTEEL";"JSWSTEEL.ns"
"Jaiprakash_Power_Ventures_Ltd";"Power";"JPPOWER";"JPPOWER.ns"
"Jammu_&_Kashmir_Bank_Ltd";"Financial Services";"J&KBANK";"J&KBANK.ns"
"Jindal_Saw_Ltd";"Capital Goods";"JINDALSAW";"JINDALSAW.ns"
"Jindal_Stainless_Ltd";"Metals & Mining";"JSL";"JSL.ns"
"Jindal_Steel_&_Power_Ltd";"Metals & Mining";"JINDALSTEL";"JINDALSTEL.ns"
"Jio_Financial_Services_Ltd";"Financial Services";"JIOFIN";"JIOFIN.ns"
"Jubilant_Foodworks_Ltd";"Consumer Services";"JUBLFOOD";"JUBLFOOD.ns"
"Jubilant_Ingrevia_Ltd";"Chemicals";"JUBLINGREA";"JUBLINGREA.ns"
"Jubilant_Pharmova_Ltd";"Healthcare";"JUBLPHARMA";"JUBLPHARMA.ns"
"Jupiter_Wagons_Ltd";"Capital Goods";"JWL";"JWL.ns"
"Justdial_Ltd";"Consumer Services";"JUSTDIAL";"JUSTDIAL.ns"
"Jyothy_Labs_Ltd";"Fast Moving Consumer Goods";"JYOTHYLAB";"JYOTHYLAB.ns"
"Jyoti_CNC_Automation_Ltd";"Capital Goods";"JYOTICNC";"JYOTICNC.ns"
"KPR_Mill_Ltd";"Textiles";"KPRMILL";"KPRMILL.ns"
"KEI_Industries_Ltd";"Capital Goods";"KEI";"KEI.ns"
"KNR_Constructions_Ltd";"Construction";"KNRCON";"KNRCON.ns"
"KPIT_Technologies_Ltd";"Information Technology";"KPITTECH";"KPITTECH.ns"
"KSB_Ltd";"Capital Goods";"KSB";"KSB.ns"
"Kajaria_Ceramics_Ltd";"Consumer Durables";"KAJARIACER";"KAJARIACER.ns"
"Kalpataru_Projects_International_Ltd";"Construction";"KPIL";"KPIL.ns"
"Kalyan_Jewellers_India_Ltd";"Consumer Durables";"KALYANKJIL";"KALYANKJIL.ns"
"Kansai_Nerolac_Paints_Ltd";"Consumer Durables";"KANSAINER";"KANSAINER.ns"
"Karur_Vysya_Bank_Ltd";"Financial Services";"KARURVYSYA";"KARURVYSYA.ns"
"Kaynes_Technology_India_Ltd";"Capital Goods";"KAYNES";"KAYNES.ns"
"Kec_International_Ltd";"Construction";"KEC";"KEC.ns"
"Kfin_Technologies_Ltd";"Financial Services";"KFINTECH";"KFINTECH.ns"
"Kirloskar_Brothers_Ltd";"Capital Goods";"KIRLOSBROS";"KIRLOSBROS.ns"
"Kirloskar_Oil_Eng_Ltd";"Capital Goods";"KIRLOSENG";"KIRLOSENG.ns"
"Kotak_Mahindra_Bank_Ltd";"Financial Services";"KOTAKBANK";"KOTAKBANK.ns"
"Krishna_Institute_of_Medical_Sciences_Ltd";"Healthcare";"KIMS";"KIMS.ns"
"L&T_Finance_Ltd";"Financial Services";"LTF";"LTF.ns"
"L&T_Technology_Services_Ltd";"Information Technology";"LTTS";"LTTS.ns"
"LIC_Housing_Finance_Ltd";"Financial Services";"LICHSGFIN";"LICHSGFIN.ns"
"LTIMindtree_Ltd";"Information Technology";"LTIM";"LTIM.ns"
"Larsen_&_Toubro_Ltd";"Construction";"LT";"LT.ns"
"Latent_View_Analytics_Ltd";"Information Technology";"LATENTVIEW";"LATENTVIEW.ns"
"Laurus_Labs_Ltd";"Healthcare";"LAURUSLABS";"LAURUSLABS.ns"
"Lemon_Tree_Hotels_Ltd";"Consumer Services";"LEMONTREE";"LEMONTREE.ns"
"Life_Insurance_Corporation_of_India";"Financial Services";"LICI";"LICI.ns"
"Linde_India_Ltd";"Chemicals";"LINDEINDIA";"LINDEINDIA.ns"
"Lloyds_Metals_And_Energy_Ltd";"Metals & Mining";"LLOYDSME";"LLOYDSME.ns"
"Lupin_Ltd";"Healthcare";"LUPIN";"LUPIN.ns"
"MMTC_Ltd";"Services";"MMTC";"MMTC.ns"
"MRF_Ltd";"Automobile and Auto Components";"MRF";"MRF.ns"
"Macrotech_Developers_Ltd";"Realty";"LODHA";"LODHA.ns"
"Mahanagar_Gas_Ltd";"Oil Gas & Consumable Fuels";"MGL";"MGL.ns"
